净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态
2012-05-03,1.0,1.0,,封闭期,封闭期
2012-05-04,1.0,1.0,0.0,封闭期,封闭期
2012-05-11,1.0,1.0,0.0,封闭期,封闭期
2012-05-18,1.0,1.0,0.0,封闭期,封闭期
2012-05-25,0.999,0.999,-0.1,封闭期,封闭期
2012-06-01,0.999,0.999,0.0,封闭期,封闭期
2012-06-06,0.999,0.999,0.0,开放申购,开放赎回
2012-06-07,1.0,1.0,0.1,开放申购,开放赎回
2012-06-08,1.0,1.0,0.0,开放申购,开放赎回
2012-06-11,1.0,1.0,0.0,开放申购,开放赎回
2012-06-12,1.0,1.0,0.0,开放申购,开放赎回
2012-06-13,1.0,1.0,0.0,开放申购,开放赎回
2012-06-14,1.0,1.0,0.0,开放申购,开放赎回
2012-06-15,1.0,1.0,0.0,开放申购,开放赎回
2012-06-18,0.998,0.998,-0.2,开放申购,开放赎回
2012-06-19,0.999,0.999,0.1,开放申购,开放赎回
2012-06-20,0.995,0.995,-0.4,开放申购,开放赎回
2012-06-21,0.99,0.99,-0.5,开放申购,开放赎回
2012-06-25,0.995,0.995,0.51,开放申购,开放赎回
2012-06-26,0.995,0.995,0.0,开放申购,开放赎回
2012-06-27,0.996,0.996,0.1,开放申购,开放赎回
2012-06-28,0.993,0.993,-0.3,开放申购,开放赎回
2012-06-29,1.005,1.005,1.21,开放申购,开放赎回
2012-06-30,1.005,1.005,0.0,开放申购,开放赎回
2012-07-02,1.003,1.003,-0.2,开放申购,开放赎回
2012-07-03,1.012,1.012,0.9,开放申购,开放赎回
2012-07-05,1.01,1.01,-0.2,开放申购,开放赎回
2012-07-06,0.999,0.999,-1.09,开放申购,开放赎回
2012-07-09,1.006,1.006,0.7,开放申购,开放赎回
2012-07-10,0.998,0.998,-0.8,开放申购,开放赎回
2012-07-11,1.002,1.002,0.4,开放申购,开放赎回
2012-07-12,1.002,1.002,0.0,开放申购,开放赎回
2012-07-13,1.009,1.009,0.7,开放申购,开放赎回
2012-07-16,1.012,1.012,0.3,开放申购,开放赎回
2012-07-17,1.011,1.011,-0.1,开放申购,开放赎回
2012-07-18,1.014,1.014,0.3,开放申购,开放赎回
2012-07-19,1.019,1.019,0.49,开放申购,开放赎回
2012-07-20,1.017,1.017,-0.2,开放申购,开放赎回
2012-07-23,1.01,1.01,-0.69,开放申购,开放赎回
2012-07-24,1.008,1.008,-0.2,开放申购,开放赎回
2012-07-25,1.014,1.014,0.6,开放申购,开放赎回
2012-07-26,1.014,1.014,0.0,开放申购,开放赎回
2012-07-27,1.017,1.017,0.3,开放申购,开放赎回
2012-07-30,1.017,1.017,0.0,开放申购,开放赎回
2012-07-31,1.015,1.015,-0.2,开放申购,开放赎回
2012-08-01,1.013,1.013,-0.2,开放申购,开放赎回
2012-08-02,1.011,1.011,-0.2,开放申购,开放赎回
2012-08-03,1.015,1.015,0.4,开放申购,开放赎回
2012-08-06,1.015,1.015,0.0,开放申购,开放赎回
2012-08-07,1.017,1.017,0.2,开放申购,开放赎回
2012-08-08,1.018,1.018,0.1,开放申购,开放赎回
2012-08-09,1.02,1.02,0.2,开放申购,开放赎回
2012-08-10,1.019,1.019,-0.1,开放申购,开放赎回
2012-08-13,1.017,1.017,-0.2,开放申购,开放赎回
2012-08-14,1.017,1.017,0.0,开放申购,开放赎回
